,Name,TEST_ROR
0,1101,-6.766377826108991e-07
1,1102,-4.549588950774224e-07
2,1216,-5.612565655646025e-07
3,1301,-4.14546810891745e-05
4,1326,-1.9925124965626222e-07
5,1402,-1.3698342487600012e-05
6,2002,-4.23313244506143e-07
7,2207,-7.405667952096268e-08
8,2301,-1.4890250644459216e-05
9,2303,-9.302283275535801e-07
10,2308,-1.5961010217810597e-07
11,2317,-1.8031579855982387e-07
12,2327,-1.1533691812667788e-08
13,2330,-1.0222948574513352e-06
14,2352,-5.575344843184499e-07
15,2357,-1.2153028470416498e-06
16,2382,-1.3757714193715764e-06
17,2395,-5.404076421471244e-07
18,2408,-2.782158530713546e-07
19,2454,-1.2624756600963987e-06
20,2474,-4.752166364067008e-07
21,2609,-8.872450485076963e-06
22,2610,-6.551945192272683e-07
23,2823,-2.28678441921199e-06
24,2880,-1.3416338033080895e-06
25,2881,-8.015388102922495e-07
26,2882,-6.27381710689379e-08
27,2883,-1.979739811136019e-07
28,2884,-6.829703379482196e-07
29,2885,-5.516386330805582e-07
30,2886,-3.245830505153945e-06
31,2888,-1.6949611363864917e-06
32,2890,-4.691862069291673e-07
33,2891,-8.923405952965488e-07
34,2892,-4.668940452871319e-05
35,2912,-3.1686201492371753e-07
36,3008,-1.7961623406239823e-07
37,4904,-7.342707423704392e-06
38,4938,-5.6484131193548e-07
39,5871,-5.640484935512602e-07
40,5880,-6.966442296674579e-07
41,6505,-1.0733839229629417e-07
42,9904,-1.544148201578973e-06
43,9910,-1.4172981852225663e-07
